Page_ID,image_filename,has_date,date_full_text,date_year_extracted,has_two_columns,is_signed,signature_count,signature_location,has_top_left_mark,top_left_mark_count,additional_archivist_marks_count,total_archivist_marks_count,quondam_total,quondam_left,quondam_right,quondam_names,quondam_names_count,con_total,con_left,con_right,e_conjunction_total,e_conjunction_left,e_conjunction_right,con_e_following_text,con_e_following_text_count,named_travelers_total,named_travelers_left,named_travelers_right,place_of_stay_total,place_of_stay_left,place_of_stay_right,place_of_origin_total,place_of_origin_left,place_of_origin_right,traveler_label_types,bracket_total,bracket_left,bracket_right,bracket_annotation_count,has_bracket_annotation,bracket_contained_count,bracket_annotation_text,bracket_label_types
AVS IS 758-781 1766 02.jpg,AVS IS 758-781 1766 02.jpg,Y,20 February 1768 M.V.,1768,yes,N,0,,N,0,0,0,8,4,4,Jacob Tedesco | Be | niamin Ottolengo | Emanuel Pisaro | Emanuel Pisaro | Beniamin Ottolengo | Leon Todesco | Emanuel Pisaro | Emanuel | Pesaro,10,4,3,1,2,2,0,"moglie | un domestico | moglie, unable figliuola | moglie | cinque figliuoli | un domestico",6,18,9,9,20,7,13,17,9,8,"Place of origin, Place of Stay, Traveler Name",1,0,1,1,Y,1,di Padova,"contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1767 02 01 p1.jpg,AVS IS 758-781 1767 02 01 p1.jpg,Y,1 February 1767,1767,yes,Y,1,right,Y,1,1,2,2,2,0,Giovanni | Giovanni,2,9,6,3,1,0,1,sua moglie | un figliuolo | un domestico | quattro domestici | sua consorte | tre domestici | un domestico | due figliuoli | un domestico | due domestici,10,34,27,7,21,6,15,26,19,7,"Place of origin, Place of Stay, Traveler Name",4,4,0,4,Y,4,"[""tutti di Vincenza"",""tutti e tre di Trieste"",""ambedue Francesi"",""tutti e tre di Vincenza""]","contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1767 02 01 p2.jpg,AVS IS 758-781 1767 02 01 p2.jpg,N,,,yes,N,0,,N,0,0,0,1,1,0,Antonio,0,1,1,0,0,0,0,cinque domestici,0,4,4,0,3,2,1,3,3,0,"Place of origin, Place of Stay, Traveler Name",1,1,0,1,Y,1,tutti e tre di Verona,"contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1767 02 01 p3.jpg,AVS IS 758-781 1767 02 01 p3.jpg,Y,1 February 1767 M.V.,1767,yes,N,0,,N,0,0,0,13,5,8,Lazaro Loria | Emanuel Pesaro | Simon Todesco | Emanuel Pesaro | Simon Todesco | Aastalj | Isack Todesco | Aron Todesco | Isack Todesco | Emanuel Pesaro | Beniamin Ottolengo | David Marcaria | Emanuel Pesaro,13,7,2,5,0,0,0,un domestico | due figliuoli | sua moglie | figlioula | sua moglie | un figliuolo | figliuolo,7,26,12,14,32,12,20,26,8,18,"Place of origin, Place of Stay, Traveler Name",0,0,0,0,N,0,,
AVS IS 758-781 1767 02 01 p4.jpg,AVS IS 758-781 1767 02 01 p4.jpg,N,,,yes,N,0,,N,0,0,0,7,3,4,Emanuel Pesaro | Mordocai | Assar Coen | Beniamin | Ottolengo | Lazaro Lorgia | Simon Todesco | Barack Todesco,8,2,2,0,0,0,0,sua moglie | sua moglie,2,10,3,7,13,2,11,10,3,7,"Place of origin, Place of Stay, Traveler Name",0,0,0,0,N,0,,
AVS IS 758-781 1767 07 01.jpg,AVS IS 758-781 1767 07 01.jpg,Y,1 June 1767,1767,yes,N,0,,Y,1,1,2,10,7,3,Francesco | Francesco | Valentino | Francesco | Francesco | Giosuè  | Giovanni | Ruggiero | Antonio | Antonio,10,4,2,2,1,1,0,quattro camerieri | un figliuolo | un compagno | un domestico | cinque domestici,5,33,21,12,13,8,5,20,16,4,"Place of origin, Place of Stay, Traveler Name",5,4,1,5,Y,5,"[""tutti Inglesi"",""tutti e tre Padovani"",""ambedue Francesi"",""ambedue di Feltre"",""tutti di Vicenza""]","contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1768 01 02.jpg,AVS IS 758-781 1768 01 02.jpg,Y,2 January 1768 M.V.,1768,yes,N,0,,Y,1,1,2,4,2,2,Francesco | Tomaso | Filippo | Dom.co (Domenico),4,11,6,5,3,1,2,sua moglie | due figliuole | un domestico | un domestico | un domestico | un domestico | sua moglie | sua moglie | una sorella | sua moglie | un nipote | un domestico | un figliuolo | due domestici,14,21,10,11,22,9,13,21,12,9,"Place of origin, Place of Stay, Traveler Name",2,1,1,2,Y,2,"[""ambedue di Zorigo"",""ambedue di Zorigo""]","contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1768 01 09.jpg,AVS IS 758-781 1768 01 09.jpg,Y,9 January 1768 M.V.,1768,yes,N,0,,Y,1,2,3,2,2,0,Marco | And.o (Antonio),2,6,5,1,0,0,0,due domestici | sua moglie | due domestici | un domestico | un domestico | un figliuolo,6,31,14,17,21,8,13,26,13,13,"Place of origin, Place of Stay, Traveler Name",6,2,4,6,Y,6,"[""Inglesi"",""ambedue di ? ?? span"",""ambedue di Este"",""ambedue di Traverso?"",""ambedue di Bergamo"",""ambedue di Montagnana""]","contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1768 01 16 p1.jpg,AVS IS 758-781 1768 01 16 p1.jpg,Y,16 January 1768 M.V.,1768,yes,N,0,,N,0,1,1,0,0,0,,0,1,1,0,0,0,0,due domestici,0,21,15,6,18,16,2,16,11,5,"Place of origin, Place of Stay, Traveler Name",4,3,1,4,Y,4,"[""tutti e Vicentini"",""tutti e tre di Zurigo"",""ambedue di Verona"",""tutti e tre di Zorigo""]","contained by bracket, bracket annotation, bracket"
AVS IS 758-781 1768 01 16 p2.jpg,AVS IS 758-781 1768 01 16 p2.jpg,N,,,yes,Y,1,right,N,0,1,1,0,0,0,,0,6,6,0,0,0,0,un domestico | due domestici | un domestico | un domestico | un domestico | tre domestici,6,12,12,0,11,6,5,10,10,0,"Place of origin, Place of Stay, Traveler Name",2,2,0,2,Y,2,"[""ambedue di Bergamo"",""ambedue Polacchi""]","contained by bracket, bracket annotation, bracket"
