page_id,Has_Date_Top,Year_Value,Two_Columns,Is_Signed,Signature_Location,Has_Mark_TopLeft,Count_Additional_Marks,Count_Con,Con_Next_Words,Count_E,E_Next_Words,Traveler_Unnamed_L,Traveler_Unnamed_R,Count_Brackets,Brackets_Left,Brackets_Right,Has_Bracket_Annotation,Bracket_Annotation_Words,Traveler_Named_L,Traveler_Named_R,Count_Instances_Origin,Count_Unique_Stays,Stays_Left,Stays_Right,Count_Quondam
AVS IS 758-781 1766 02.jpg,Y,20 February 1768 M.V.,yes,N,,N,0,4,"moglie | un domestico | moglie, unable figliuola | moglie",2,cinque figliuoli | un domestico,9,1,2,1,1,Y,di Padova,18,0,17,20,13,7,8
AVS IS 758-781 1767 02 01 p1.jpg,Y,1 February 1767,yes,Y,Bottom Right,Y,1,9,sua moglie | un figliuolo | un domestico | quattro domestici | sua consorte | tre domestici | un domestico | due figliuoli | un domestico,1,due domestici,11,6,8,8,0,Y,"[""tutti di Vincenza"",""tutti e tre di Trieste"",""ambedue Francesi"",""tutti e tre di Vincenza""]",27,7,26,21,12,9,2
AVS IS 758-781 1767 02 01 p2.jpg,N,,yes,N,,N,0,0,,0,,0,0,2,2,0,Y,tutti e tre di Verona,4,0,3,3,3,0,1
AVS IS 758-781 1767 02 01 p3.jpg,Y,1 February 1767 M.V.,yes,N,,N,0,7,un domestico | due figliuoli | sua moglie | figlioula | sua moglie | un figliuolo | figliuolo,0,,3,5,0,0,0,N,,22,4,26,32,21,11,13
AVS IS 758-781 1767 02 01 p4.jpg,N,,yes,N,,N,0,2,sua moglie | sua moglie,0,,2,0,0,0,0,N,,8,2,10,13,4,9,7
AVS IS 758-781 1767 07 01.jpg,Y,1 June 1767,yes,N,,Y,1,4,quattro camerieri | un figliuolo | un compagno | un domestico,1,cinque domestici,10,2,10,8,2,Y,"[""tutti Inglesi"",""tutti e tre Padovani"",""ambedue Francesi"",""ambedue di Feltre"",""tutti di Vicenza""]",22,11,20,13,8,5,10
AVS IS 758-781 1768 01 02.jpg,Y,2 January 1768 M.V.,yes,N,,Y,1,11,sua moglie | due figliuole | un domestico | un domestico | un domestico | un domestico | sua moglie | sua moglie | una sorella | sua moglie | un nipote,3,un domestico | un figliuolo | due domestici,8,7,4,3,1,Y,"[""ambedue di Zorigo"",""ambedue di Zorigo""]",13,8,21,22,13,9,4
AVS IS 758-781 1768 01 09.jpg,Y,9 January 1768 M.V.,yes,N,,Y,2,6,due domestici | sua moglie | due domestici | un domestico | un domestico | un figliuolo,0,,7,1,12,4,8,Y,"[""Inglesi"",""ambedue di ? ?? span"",""ambedue di Este"",""ambedue di Traverso?"",""ambedue di Bergamo"",""ambedue di Montagnana""]",14,17,26,21,14,7,2
AVS IS 758-781 1768 01 16 p1.jpg,Y,16 January 1768 M.V.,yes,N,,Y,0,0,,0,,0,0,8,7,1,Y,"[""tutti e Vicentini"",""tutti e tre di Zurigo"",""ambedue di Verona"",""tutti e tre di Zorigo""]",15,6,16,18,11,7,0
AVS IS 758-781 1768 01 16 p2.jpg,N,,yes,Y,Bottom Right,N,1,6,un domestico | due domestici | un domestico | un domestico | un domestico | tre domestici,0,,9,0,4,4,0,Y,"[""ambedue di Bergamo"",""ambedue Polacchi""]",12,0,10,11,11,0,0
AVS IS 758-781 1768 01 16 p3.jpg,Y,16 January 1768 M.V.,yes,N,,N,0,2,"moglie, una figlia | moglie, una figlia",2,un domestico | un domestico,2,2,2,1,1,Y,Ambedue di Padova,23,0,22,31,20,11,8
AVS IS 758-781 1768 02 20.jpg,Y,20 February 1768 M.V.,yes,N,,Y,0,12,un domestico | un domestico | due compagni | tre domestici | un domestico | un domestico | il suo Aggio | un domestico | un domestico | sua moglie | un domestico | un domestco,2,un domestico | due domestici,5,12,14,10,4,Y,"[""ambedue di Trieste"",""ambedue di Trieste"",""ambedue Francesi"",""ambedue di Verona"",""tutti Polacchi"",""ufficiali ? ovati"",""ambedue Anovaresi ?""]",22,13,28,15,9,6,0
AVS IS 758-781 1768 03 26.jpg,Y,28 March 1768,yes,N,,Y,2,7,un domestico | un domestico | tre domestici | un domestico | moglie | un domestico | un domestico,1,una figliuola,6,4,8,6,2,Y,"[""Ambedue di Verona"",""Tutti e tre ____ Inglesi"",""ambedue di Zorigo?"",""ambedue Francesci""]",17,9,21,24,14,10,2
AVS IS 758-781 1768 05 02.jpg,Y,2 May 1768,yes,Y,Bottom Right,Y,1,2,un domestico | una sua sorella,0,,2,0,4,2,2,Y,"[""ambedue Geneovini"",""ambedue di Piova""]",4,2,4,7,5,2,1
AVS IS 758-781 1768 05 08 p2.jpg,N,,yes,N,,N,0,3,una figlia | sette domestici | due fratelli,1,un figlio,11,0,4,4,0,Y,Tutti e tre di Callvan?,27,4,26,6,5,1,12
AVS IS 758-781 1768 05 08 p3.jpg,N,,yes,N,,N,1,15,sua moglie | due domestici | un domestico | sua moglie | sua moglie | sua moglie | un domestico | sua moglie | una figlia | dodeci domestici | due domestici | tre domestici | un domestico | un domestico | un domestico,1,sei domestici,14,11,20,12,8,Y,"[""Tutti di Firenze"",""ambedue di Slesia ? con due Domestici"",""ambedue Tedeschi"",""Tutti di Vicenza"",""Tutti di Vincenza"",""Tutti Tedeschi con dodeci Domestici"",""ambedue di Caltran?"",""ambedue Inglesi con due Domestici"",""ambedue di Verona""]",43,9,24,12,5,7,5
AVS IS 758-781 1768 05 08 p4.jpg,N,,yes,N,,N,1,15,sua moglie | un figlio | un domestico | sua moglie | due domestici | otto domestici | un domestico | due domestici | sua moglie | tre domestici | cinque domestici | un domestico | un figlio | sua moglie | sua moglie,2,due figliuoli | un fratello,16,17,22,14,8,Y,"[""tutti e tre di Postaggio?"",""tutti e tre di Salò"",""tutti e tre di Bassan"",""tutti e tre di Udine"",""tutti e tre di Vicenza"",""ambedue di Forli con due domestici"",""tutti Inglesi con ??? Domestici"",""tutti e quattro di Verona con cinque Domestici"",""ambedue di Mantova"",""ambedue di Milano con un Domestico"",""tutti di Valsugana""]",29,33,34,9,4,5,11
AVS IS 758-781 1768 05 08 p5.jpg,N,,yes,Y,Bottom Right,N,1,9,un figlio | un figlio | un domestico | tre domestici | un domestico | cinque domestici | due domestici | due domestici | un nipote,1,un domestico,13,4,12,9,3,Y,"[""Tutti e tre Gentiluomini Inglesi con cinque Domestici"",""ambedue di Cararzere?"",""ambedue dalla Pettovazza?"",""ambedue di Padova"",""ambedue di Genova"",""Tutti e tre di Bergamo""]",33,0,26,8,7,1,2
AVS IS 758-781 1768 05 08.jpg,Y,8 May 1768,yes,N,,Y,1,14,un domestico | un domestico | quindeci domestici | sua moglie | due domestici | sua moglie | una cameriera | due domestici | un domestico | moglie | tre domestici | sua moglie | tre domestici | un domestico,2,quattro domestici | una figlia,24,1,12,6,6,Y,"[""ambedue di Boemi con un domestico"",""tutti di Vienna con quindeci domestici"",""Tutti ungheri"",""Ferraresi"",""tutti di Sacik?"",""tutti e tre di Padova con un Domestico""]",23,19,21,13,5,8,6
AVS IS 758-781 1768 05 09 p1.jpg,Y,9 May 1768,yes,N,,N,0,5,un figliuolo | un figliuolo | un figliuolo | un domestico | moglie,1,tre figliuoli,3,5,0,0,0,N,,17,3,21,29,16,13,11
AVS IS 758-781 1768 05 09 p2.jpg,Y,9 May 1768,yes,Y,Bottom Right,N,0,0,,0,,0,0,2,2,0,Y,tutti di Pavia,6,0,3,4,4,0,1
AVS IS 758-781 1768 05 09 p3.jpg,N,,yes,N,,N,0,0,,0,,0,0,0,0,0,N,,5,0,5,6,0,6,2
AVS IS 758-781 1768 05 16.jpg,Y,16 May 1768,yes,Y,Bottom Right,Y,1,5,un domestico | un domestico | un domestico | tre domestici | quattro domestici,0,,10,0,6,5,1,Y,"[""Ambedue di Udine"",""ambedue di Zorigo"",""ambedue di Milano""]",18,2,17,12,9,3,7
