Verification_Status,Notes,Page_ID,has_date,date_full_text,date_year_extracted,has_two_columns,is_signed,signature_location,has_top_left_mark,additional_archivist_marks_count,total_archivist_marks_count,quondam_total,quondam_left,quondam_right,con_total,con_left,con_right,text_after_con,e_conjunction_total,e_conjunction_left,e_conjunction_right,text_after_e,named_travelers_total,named_travelers_left,named_travelers_right,unnamed_travelers_total,unnamed_travelers_left,unnamed_travelers_right,unique_places_of_origin_nationality,place_of_stay_left,place_of_stay_right,unique_places_of_stay,total_place_of_stay_with_person_name,bracket_total,bracket_left,bracket_right,has_bracket_annotation,bracket_annotation_text
FALSE,,AVS IS 758-781 1766 02.jpg,Y,20 February 1768 M.V.,1769,yes,N,,N,0,0,9,5,4,4,3,1,"moglie | un domestico | moglie, unable figliuola | moglie",2,2,0,cinque figliuoli | un domestico,19,10,9,11,10,1,10,8,7,8,12,1,0,1,Y,di Padova
FALSE,,AVS IS 758-781 1767 02 01 p1.jpg,Y,1 February 1767/8,1768,yes,Y,right,Y,1,2,2,2,0,9,6,3,sua moglie | un figliuolo | un domestico | quattro domestici | sua consorte | tre domestici | un domestico | due figliuoli | un domestico,3,2,1,due domestici,35,27,8,18,11,7,23,7,5,7,5,4,4,0,Y,"[""tutti di Vicenza"",""tutti e tre di Treviso"",""ambedue Francesi"",""tutti e tre di Vicenza""]"
FALSE,,AVS IS 758-781 1767 02 01 p2.jpg,N,,,yes,N,,N,0,0,1,1,0,1,1,0,cinque domestici,0,0,0,,4,4,0,5,5,0,2,2,0,2,1,1,1,0,Y,tutti e tre di Verona
FALSE,,AVS IS 758-781 1767 02 01 p3.jpg,Y,1 February 1767 M.V.,1769,yes,N,,N,0,0,13,5,8,7,2,5,un domestico | due figliuole | sua moglie | figlioula | sua moglie | un figliuolo | figliuolo,2,2,0,,28,14,14,8,3,5,12,12,7,12,17,0,0,0,N,
FALSE,,AVS IS 758-781 1767 02 01 p4.jpg,N,,,yes,N,,N,0,0,7,3,4,2,2,0,sua moglie | sua moglie,2,2,0,,11,3,8,4,4,0,5,3,7,9,8,0,0,0,N,
FALSE,,AVS IS 758-781 1767 07 01.jpg,Y,1 June 1767,1767,yes,N,,Y,1,2,10,7,3,4,2,2,quattro camerieri | un figliuolo | un compagno | un domestico,1,1,0,cinque domestici,33,21,12,12,10,2,,8,5,,,5,4,1,Y,"[""tutti Inglesi"",""tutti e tre Padovani"",""ambedue Francesi"",""ambedue di Feltre"",""tutti di Vicenza""]"
FALSE,,AVS IS 758-781 1768 01 02.jpg,Y,2 January 1768 M.V.,1769,yes,N,,Y,1,2,4,2,2,11,6,5,sua moglie | due figliuole | un domestico | un domestico | un domestico | un domestico | sua moglie | sua moglie | una sorella | sua moglie | un nipote,3,1,2,un domestico | un figliuolo | due domestici,21,10,11,16,8,8,,9,13,,,2,1,1,Y,"[""ambedue di Zorigo"",""ambedue di Zorigo""]"
FALSE,,AVS IS 758-781 1768 01 09.jpg,Y,9 January 1768 M.V.,1769,yes,N,,Y,2,3,2,2,0,6,5,1,due domestici | sua moglie | due domestici | un domestico | un domestico | un figliuolo,0,0,0,,31,14,17,8,7,1,,8,13,,,6,2,4,Y,"[""Inglesi"",""ambedue di ? ?? span"",""ambedue di Este"",""ambedue di Traverso?"",""ambedue di Bergamo"",""ambedue di Montagnana""]"
FALSE,,AVS IS 758-781 1768 01 16 p1.jpg,Y,16 January 1768 M.V.,1769,yes,N,,N,1,1,0,0,0,1,1,0,due domestici,0,0,0,,21,15,6,0,0,0,,16,2,,,4,3,1,Y,"[""tutti e Vicentini"",""tutti e tre di Zurigo"",""ambedue di Verona"",""tutti e tre di Zorigo""]"
FALSE,,AVS IS 758-781 1768 01 16 p2.jpg,N,,,yes,Y,right,N,1,1,0,0,0,6,6,0,un domestico | due domestici | un domestico | un domestico | un domestico | tre domestici,0,0,0,,12,12,0,9,9,0,,6,5,,,2,2,0,Y,"[""ambedue di Bergamo"",""ambedue Polacchi""]"
FALSE,,AVS IS 758-781 1768 01 16 p3.jpg,Y,16 January 1768 M.V.,1769,yes,N,,N,0,0,8,4,4,2,1,1,"moglie, una figlia | moglie, una figlia",2,1,1,un domestico | un domestico,23,13,10,6,3,3,,11,20,,,1,0,1,Y,Ambedue di Padova
FALSE,,AVS IS 758-781 1768 02 20.jpg,Y,20 February 1768 M.V.,1769,yes,N,,Y,0,1,0,0,0,12,3,9,un domestico | un domestico | due compagni | tre domestici | un domestico | un domestico | il suo Aggio | un domestico | un domestico | sua moglie | un domestico | un domestco,2,1,1,un domestico | due domestici,35,17,18,17,5,12,,13,2,,,7,4,3,Y,"[""ambedue di Trieste"",""ambedue di Trieste"",""ambedue Francesi"",""ambedue di Verona"",""tutti Polacchi"",""ufficiali ? ovati"",""ambedue Anovaresi ?""]"
FALSE,,AVS IS 758-781 1768 03 26.jpg,Y,28 March 1768,1768,yes,N,,Y,2,3,2,1,1,7,4,3,un domestico | un domestico | tre domestici | un domestico | moglie | un domestico | un domestico,1,0,1,una figliuola,26,15,11,10,6,4,,21,3,,,4,3,1,Y,"[""Ambedue di Verona"",""Tutti e tre ____ Inglesi"",""ambedue di Zorigo?"",""ambedue Francesci""]"
FALSE,,AVS IS 758-781 1768 05 02.jpg,Y,2 May 1768,1768,yes,Y,right,Y,1,2,1,0,1,2,2,0,un domestico | una sua sorella,0,0,0,,6,4,2,2,2,0,,3,4,,,2,1,1,Y,"[""ambedue Geneovini"",""ambedue di Piova""]"
FALSE,,AVS IS 758-781 1768 05 08 p2.jpg,N,,,yes,N,,N,0,0,12,9,3,3,3,0,una figlia | sette domestici | due fratelli,1,1,0,un figlio,31,27,4,11,11,0,,5,1,,,2,2,0,Y,Tutti e tre di Callvan?
FALSE,,AVS IS 758-781 1768 05 08 p3.jpg,N,,,yes,N,,N,1,1,5,4,1,15,7,8,sua moglie | due domestici | un domestico | sua moglie | sua moglie | sua moglie | un domestico | sua moglie | una figlia | dodeci domestici | due domestici | tre domestici | un domestico | un domestico | un domestico,1,1,0,sei domestici,52,27,25,25,14,11,,5,7,,,10,5,5,Y,"[""Tutti di Firenze"",""ambedue di Slesia ? con due Domestici"",""ambedue Tedeschi"",""Tutti di Vicenza"",""Tutti di Vincenza"",""Tutti Tedeschi con dodeci Domestici"",""ambedue di Caltran?"",""ambedue Inglesi con due Domestici"",""ambedue di Verona""]"
FALSE,,AVS IS 758-781 1768 05 08 p4.jpg,N,,,yes,N,,N,1,1,11,7,4,15,6,9,sua moglie | un figlio | un domestico | sua moglie | due domestici | otto domestici | un domestico | due domestici | sua moglie | tre domestici | cinque domestici | un domestico | un figlio | sua moglie | sua moglie,2,1,1,due figliuoli | un fratello,62,29,33,33,16,17,,4,5,,,11,7,4,Y,"[""tutti e tre di Postaggio?"",""tutti e tre di Salò"",""tutti e tre di Bassan"",""tutti e tre di Udine"",""tutti e tre di Vicenza"",""ambedue di Forli con due domestici"",""tutti Inglesi con ??? Domestici"",""tutti e quattro di Verona con cinque Domestici"",""ambedue di Mantova"",""ambedue di Milano con un Domestico"",""tutti di Valsugana""]"
FALSE,,AVS IS 758-781 1768 05 08 p5.jpg,N,,,yes,Y,right,N,1,1,2,0,2,9,6,3,un figlio | un figlio | un domestico | tre domestici | un domestico | cinque domestici | due domestici | due domestici | un nipote,1,1,0,un domestico,33,22,11,18,13,5,,7,1,,,6,3,3,Y,"[""Tutti e tre Gentiluomini Inglesi con cinque Domestici"",""ambedue di Cararzere?"",""ambedue dalla Pettovazza?"",""ambedue di Padova"",""ambedue di Genova"",""Tutti e tre di Bergamo""]"
FALSE,,AVS IS 758-781 1768 05 08.jpg,Y,8 May 1768,1768,yes,N,,Y,1,2,6,2,4,14,13,1,un domestico | un domestico | quindeci domestici | sua moglie | due domestici | sua moglie | una cameriera | due domestici | un domestico | moglie | tre domestici | sua moglie | tre domestici | un domestico,2,2,0,quattro domestici | una figlia,42,23,19,25,24,1,,5,8,,,6,3,3,Y,"[""ambedue di Boemi con un domestico"",""tutti di Vienna con quindeci domestici"",""Tutti ungheri"",""Ferraresi"",""tutti di Sacik?"",""tutti e tre di Padova con un Domestico""]"
FALSE,,AVS IS 758-781 1768 05 09 p1.jpg,Y,9 May 1768,1768,yes,N,,N,0,0,11,6,5,5,3,2,un figliuolo | un figliuolo | un figliuolo | un domestico | moglie,1,0,1,tre figliuoli,20,10,10,8,3,5,,9,20,,,0,0,0,N,
FALSE,,AVS IS 758-781 1768 05 09 p2.jpg,Y,9 May 1768,1768,yes,Y,right,N,0,0,1,1,0,1,1,0,tre domestici,0,0,0,,6,6,0,0,0,0,,2,2,,,1,1,0,Y,tutti di Pavia
FALSE,,AVS IS 758-781 1768 05 09 p3.jpg,N,,,yes,N,,N,0,0,2,0,2,1,0,1,un figliuolo,0,0,0,,5,0,5,0,0,0,,2,4,,,0,0,0,N,
FALSE,,AVS IS 758-781 1768 05 16.jpg,Y,16 May 1768,1768,yes,Y,right,Y,1,2,7,7,0,5,5,0,un domestico | un domestico | un domestico | tre domestici | quattro domestici,0,0,0,,20,15,5,10,10,0,,7,5,,,3,2,1,Y,"[""Ambedue di Udine"",""ambedue di Zorigo"",""ambedue di Milano""]"
FALSE,,AVS IS 758-781 1768 05.jpg,Y,5 December 1768,1768,yes,N,,Y,1,2,3,2,1,4,2,2,moglie | due domestici | sua moglie | suo figliuolo,3,1,2,due compagni | un domestico | quattro domestici,27,14,13,12,5,7,,17,2,,,6,2,4,Y,"[""ambedue di Verona"",""tutti e tre di Padova"",""tutti Grisoni?"",""ambedue di Piove"",""ambedue di Campidonia"",""ambedue di Roveredo""]"
FALSE,,AVS IS 758-781 1768 08 01.jpg,Y,1 August 1768,1768,yes,Y,right,Y,1,2,2,0,2,5,4,1,cinque Officiali | sua moglie | undeci domestici | due domestici | un suo filgliuolo,1,1,0,tre domestici,14,11,3,8,7,1,,5,5,,,1,1,0,Y,ambedue Francesi
FALSE,,AVS IS 758-781 1768 09.jpg,Y,12 September 1768,1768,yes,Y,right,Y,1,2,6,6,0,3,3,0,un domestico | due domestici | un figliuolo,1,1,0,un domestico,11,11,0,5,5,0,,5,1,,,2,2,0,Y,"[""Ambedue di Valcamonica"",""Tutti di Bergamo""]"
