Page_ID,Task_Source,Two_Columns,Is_Signed,Sig_Location,Mark_TopLeft,Has_Date,Year_Value,Count_Other_Marks,Count_Quondam,Count_Con,Con_Values,Count_E,E_Values,Traveler_Named_L,Traveler_Named_R,Traveler_Unnamed_L,Traveler_Unnamed_R,Parsing_Log,Count_Unique_Origins,Count_Unique_Stays,Stays_L,Stays_R,Count_In_Casa_Di,Count_Brackets,Brackets_L,Brackets_R,Has_Bracket_Note,Bracket_Note_Values
AVS IS 758-781 1766 02.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,9,9,0,0,,0,0,12,8,0,0,0,0,N,
AVS IS 758-781 1767 02 01 p1.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,27,7,0,0,,0,0,12,9,0,0,0,0,N,
AVS IS 758-781 1767 02 01 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,N,N,,N,N,,0,0,0,,0,,4,0,0,0,,0,0,3,0,0,0,0,0,N,
AVS IS 758-781 1767 02 01 p3.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,12,14,0,0,,0,0,21,11,0,0,0,0,N,
AVS IS 758-781 1767 02 01 p4.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,3,7,0,0,,0,0,4,9,0,0,0,0,N,
AVS IS 758-781 1767 07 01.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,22,11,0,0,,0,0,8,5,0,0,0,0,N,
AVS IS 758-781 1768 01 02.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,10,11,0,0,,0,0,12,10,0,0,0,0,N,
AVS IS 758-781 1768 01 09.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,14,17,0,0,,0,0,14,7,0,0,0,0,N,
AVS IS 758-781 1768 01 16 p1.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,15,6,0,0,,0,0,11,7,0,0,0,0,N,
AVS IS 758-781 1768 01 16 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,N,N,,N,N,,0,0,0,,0,,12,0,0,0,,0,0,11,0,0,0,0,0,N,
AVS IS 758-781 1768 01 16 p3.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,13,10,0,0,,0,0,20,11,0,0,0,0,N,
AVS IS 758-781 1768 02 20.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,17,18,0,0,,0,0,9,6,0,0,0,0,N,
AVS IS 758-781 1768 03 26.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,15,11,0,0,,0,0,14,10,0,0,0,0,N,
AVS IS 758-781 1768 05 02.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,4,2,0,0,,0,0,5,2,0,0,0,0,N,
AVS IS 758-781 1768 05 08 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,27,4,0,0,,0,0,5,1,0,0,0,0,N,
AVS IS 758-781 1768 05 08 p3.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,27,25,0,0,,0,0,5,7,0,0,0,0,N,
AVS IS 758-781 1768 05 08 p4.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,29,33,0,0,,0,0,4,5,0,0,0,0,N,
AVS IS 758-781 1768 05 08 p5.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,22,11,0,0,,0,0,7,1,0,0,0,0,N,
AVS IS 758-781 1768 05 08.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,23,19,0,0,,0,0,5,8,0,0,0,0,N,
AVS IS 758-781 1768 05 09 p1.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,10,10,0,0,,0,0,16,13,0,0,0,0,N,
AVS IS 758-781 1768 05 09 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,N,N,,N,N,,0,0,0,,0,,6,0,0,0,,0,0,4,0,0,0,0,0,N,
AVS IS 758-781 1768 05 09 p3.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,N,N,,N,N,,0,0,0,,0,,0,5,0,0,,0,0,0,6,0,0,0,0,N,
AVS IS 758-781 1768 05 16.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,15,5,0,0,,0,0,9,3,0,0,0,0,N,
AVS IS 758-781 1768 05.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,14,13,0,0,,0,0,11,8,0,0,0,0,N,
AVS IS 758-781 1768 08 01.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,11,3,0,0,,0,0,5,5,0,0,0,0,N,
AVS IS 758-781 1768 09.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,N,N,,N,N,,0,0,0,,0,,11,0,0,0,,0,0,6,0,0,0,0,0,N,
AVS IS 758-781 1768 11 07.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,17,9,0,0,,0,0,14,9,0,0,0,0,N,
AVS IS 758-781 1768 11 28.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,16,6,0,0,,0,0,9,3,0,0,0,0,N,
AVS IS 758-781 1769 05 p1.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,11,2,0,0,,0,0,20,3,0,0,0,0,N,
AVS IS 758-781 1769 05 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,18,4,0,0,,0,0,16,6,0,0,0,0,N,
AVS IS 758-781 1770 03.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,8,6,0,0,,0,0,9,10,0,0,0,0,N,
AVS IS 758-781 1770 05 13.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,11,4,0,0,,0,0,7,3,0,0,0,0,N,
AVS IS 758-781 1770 05 17 p1.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,16,10,0,0,,0,0,7,5,0,0,0,0,N,
AVS IS 758-781 1770 05 17 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,8,9,0,0,,0,0,7,8,0,0,0,0,N,
AVS IS 758-781 1770 05 28 p1.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,24,10,0,0,,0,0,4,6,0,0,0,0,N,
AVS IS 758-781 1770 05 28 p2.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,22,27,0,0,,0,0,5,7,0,0,0,0,N,
AVS IS 758-781 1770 05 28 p3.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,18,12,0,0,,0,0,10,4,0,0,0,0,N,
AVS IS 758-781 1770 05.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,14,4,0,0,,0,0,10,3,0,0,0,0,N,
AVS IS 758-781 1770 08.jpg,export_180351_project-180351-at-2025-09-05-16-11-6059871d,Y,N,,N,N,,0,0,0,,0,,8,2,0,0,,0,0,4,2,0,0,0,0,N,
